strategy,target,horizon_reports,model,feature_count,observations,mae,rmse,mape_percent,wape_percent
strict_holdout_sampled,hhs_care,1,random_forest,32,4,27.527248376623334,36.737030258008886,1.183627507046779,1.194888697845831
strict_holdout_sampled,hhs_care,1,gradient_boosting,32,4,899.4334511092301,930.5635231913392,40.21717758288793,39.042146548420185
walk_forward_sampled,hhs_care,1,random_forest,32,3,49.738822751322765,71.57396159803143,1.0731386407693446,1.3801005202919745
walk_forward_sampled,hhs_care,1,gradient_boosting,32,3,796.7756075917042,810.0119227026638,26.692122377962967,22.108091220635522
strict_holdout_sampled,hhs_care,7,random_forest,32,4,104.34007936507908,143.2663722681786,4.850601626223632,4.522760267233597
strict_holdout_sampled,hhs_care,7,gradient_boosting,32,4,908.4412474727545,940.6549060879851,40.56955247148182,39.37760067068724
walk_forward_sampled,hhs_care,7,random_forest,32,3,992.6505988455992,1601.5265921611692,18.236714620294535,27.313141305482873
walk_forward_sampled,hhs_care,7,gradient_boosting,32,3,1540.3146978510595,1875.48254606685,38.24549149270255,42.38231765159294
strict_holdout_sampled,hhs_care,14,random_forest,32,4,151.99344832251086,181.1056402735787,6.966917314267794,6.5862181051895075
strict_holdout_sampled,hhs_care,14,gradient_boosting,32,4,993.3396583782732,1062.9990464142052,44.904201239527566,43.0436424386642
walk_forward_sampled,hhs_care,14,random_forest,32,3,1059.0850673400669,1692.0221564374142,19.484402297946595,28.813414364924284
walk_forward_sampled,hhs_care,14,gradient_boosting,32,3,1685.2420486232743,2143.5930194125544,39.68717992407045,45.848609285116744
strict_holdout_sampled,hhs_discharges,1,random_forest,32,4,4.708204365079364,4.955545306996034,70.74786394987287,53.80804988662131
strict_holdout_sampled,hhs_discharges,1,gradient_boosting,32,4,44.3601267106938,44.986094331921635,672.0546617273781,506.9728766936434
walk_forward_sampled,hhs_discharges,1,random_forest,32,3,11.165192400192396,17.22269262055935,20.119612831052226,19.703280706221875
walk_forward_sampled,hhs_discharges,1,gradient_boosting,32,3,54.970126073027025,57.2950094855877,309.50683681364006,97.00610483475359
strict_holdout_sampled,hhs_discharges,7,random_forest,32,4,2.50160533910534,2.864179068654034,18.28633443276301,17.868609565038142
strict_holdout_sampled,hhs_discharges,7,gradient_boosting,32,4,38.97171236326966,39.2281379630459,293.40707137495355,278.36937402335474
walk_forward_sampled,hhs_discharges,7,random_forest,32,3,29.337655723905726,48.707259415196425,34.14547404430997,59.87276678348108
walk_forward_sampled,hhs_discharges,7,gradient_boosting,32,3,63.470620384826326,70.48038294378372,267.48912125712667,129.53187833638026
strict_holdout_sampled,hhs_discharges,14,random_forest,32,4,4.637717352092353,5.71226319687506,32.66155818387963,32.545384926963884
strict_holdout_sampled,hhs_discharges,14,gradient_boosting,32,4,39.503597707187964,39.85387249141743,333.6255079082545,277.21822952412606
walk_forward_sampled,hhs_discharges,14,random_forest,32,3,62.00021524771525,95.73699725652507,87.79183950737836,93.46766117746019
walk_forward_sampled,hhs_discharges,14,gradient_boosting,32,3,78.66688517300692,95.74266329054463,290.0700118146264,118.59329423066369
strict_holdout_sampled,net_hhs_flow,1,random_forest,32,4,3.5231894841269846,4.279777503023193,81.03659173581048,61.27286059351278
strict_holdout_sampled,net_hhs_flow,1,gradient_boosting,32,4,9.923535666938388,12.87075493225976,369.11024394649814,172.58322899023284
walk_forward_sampled,net_hhs_flow,1,random_forest,32,3,3.606041273541274,4.496334372765589,43.13479229104229,51.51487533630391
walk_forward_sampled,net_hhs_flow,1,gradient_boosting,32,3,18.76825397391281,20.275816905720852,302.96831946815826,268.1179139130402
strict_holdout_sampled,net_hhs_flow,7,random_forest,32,4,6.650342261904762,8.740801950952097,105.65939153439152,266.0136904761905
strict_holdout_sampled,net_hhs_flow,7,gradient_boosting,32,4,5.454636348652297,6.706103430824235,137.64495352205122,218.1854539460919
walk_forward_sampled,net_hhs_flow,7,random_forest,32,3,26.441203703703703,38.45586397159622,136.6386734407568,104.37317251461988
walk_forward_sampled,net_hhs_flow,7,gradient_boosting,32,3,30.4099248741641,51.128637408723314,64.64760569198022,120.0391771348583
strict_holdout_sampled,net_hhs_flow,14,random_forest,32,4,12.459614448051948,15.858496499162754,297.4019770738521,160.76921868454127
strict_holdout_sampled,net_hhs_flow,14,gradient_boosting,32,4,12.073699847076018,14.137271236988182,287.7780050113676,155.78967544614218
walk_forward_sampled,net_hhs_flow,14,random_forest,32,3,69.30824735449734,109.52823303730989,233.10632100062247,399.85527319902315
walk_forward_sampled,net_hhs_flow,14,gradient_boosting,32,3,64.68586309912406,102.66418616528847,380.7643135528073,373.18767172571575
