target,horizon_reports,model,feature,importance
hhs_care,7,random_forest,hhs_care_rolling_mean_14_reports,0.008923448290889173
hhs_care,7,random_forest,hhs_care_rolling_variance_14_reports,0.0007011865214350059
hhs_care,7,random_forest,hhs_discharges_lag_1_reports,9.92958497670491e-05
hhs_care,7,random_forest,hhs_discharges_lag_7_reports,6.688796058378565e-05
hhs_care,7,random_forest,hhs_discharges_lag_14_reports,0.00012800689081576486
hhs_care,7,random_forest,hhs_discharges_rolling_mean_7_reports,0.00017819068075488093
hhs_care,7,random_forest,hhs_discharges_rolling_variance_7_reports,0.00036733160155407184
hhs_care,7,random_forest,hhs_discharges_rolling_mean_14_reports,0.0024894865243098637
hhs_care,7,random_forest,hhs_discharges_rolling_variance_14_reports,0.00043482014429011446
hhs_care,7,random_forest,net_hhs_flow_lag_1_reports,8.540971687060518e-05
hhs_care,7,random_forest,net_hhs_flow_lag_7_reports,0.00014937017966497573
hhs_care,7,random_forest,net_hhs_flow_lag_14_reports,0.00024215342675841685
hhs_care,7,random_forest,net_hhs_flow_rolling_mean_7_reports,0.002089671008838395
hhs_care,7,random_forest,net_hhs_flow_rolling_variance_7_reports,0.000677079698106398
hhs_care,7,random_forest,net_hhs_flow_rolling_mean_14_reports,0.006937702189362711
hhs_care,7,random_forest,net_hhs_flow_rolling_variance_14_reports,0.0011159448291101436
hhs_care,7,random_forest,day_of_week,2.491554974343691e-05
hhs_care,7,random_forest,month,0.009805050135138459
hhs_care,7,random_forest,is_weekend,0.0
hhs_care,7,random_forest,is_us_federal_holiday,4.265831906330764e-06
hhs_care,7,gradient_boosting,cbp_apprehensions,0.004858167959133225
hhs_care,7,gradient_boosting,cbp_care,0.005312764760085937
hhs_care,7,gradient_boosting,cbp_transfers_to_hhs,0.0019823211944742856
hhs_care,7,gradient_boosting,hhs_care,0.9390304433561192
hhs_care,7,gradient_boosting,hhs_discharges,0.0
hhs_care,7,gradient_boosting,net_hhs_flow,0.0
hhs_care,7,gradient_boosting,days_since_previous_report,0.0
hhs_care,7,gradient_boosting,hhs_care_lag_1_reports,0.0008015365709621842
hhs_care,7,gradient_boosting,hhs_care_lag_7_reports,0.008701202862894303
hhs_care,7,gradient_boosting,hhs_care_lag_14_reports,0.0010366006483593965
hhs_care,7,gradient_boosting,hhs_care_rolling_mean_7_reports,0.0074350488555357495
hhs_care,7,gradient_boosting,hhs_care_rolling_variance_7_reports,0.0
hhs_care,7,gradient_boosting,hhs_care_rolling_mean_14_reports,0.009746748181490978
hhs_care,7,gradient_boosting,hhs_care_rolling_variance_14_reports,0.0
hhs_care,7,gradient_boosting,hhs_discharges_lag_1_reports,0.0
hhs_care,7,gradient_boosting,hhs_discharges_lag_7_reports,0.0
hhs_care,7,gradient_boosting,hhs_discharges_lag_14_reports,0.0
hhs_care,7,gradient_boosting,hhs_discharges_rolling_mean_7_reports,0.0
hhs_care,7,gradient_boosting,hhs_discharges_rolling_variance_7_reports,0.0
hhs_care,7,gradient_boosting,hhs_discharges_rolling_mean_14_reports,0.0017244891589640145
hhs_care,7,gradient_boosting,hhs_discharges_rolling_variance_14_reports,0.0
hhs_care,7,gradient_boosting,net_hhs_flow_lag_1_reports,0.0
hhs_care,7,gradient_boosting,net_hhs_flow_lag_7_reports,0.0
hhs_care,7,gradient_boosting,net_hhs_flow_lag_14_reports,0.0
hhs_care,7,gradient_boosting,net_hhs_flow_rolling_mean_7_reports,0.0
hhs_care,7,gradient_boosting,net_hhs_flow_rolling_variance_7_reports,0.0
hhs_care,7,gradient_boosting,net_hhs_flow_rolling_mean_14_reports,0.0
hhs_care,7,gradient_boosting,net_hhs_flow_rolling_variance_14_reports,0.0
hhs_care,7,gradient_boosting,day_of_week,0.0
hhs_care,7,gradient_boosting,month,0.019370676451980616
hhs_care,7,gradient_boosting,is_weekend,0.0
hhs_care,7,gradient_boosting,is_us_federal_holiday,0.0
hhs_care,14,random_forest,cbp_apprehensions,0.0004628190893374444
hhs_care,14,random_forest,cbp_care,0.0016144902307110964
hhs_care,14,random_forest,cbp_transfers_to_hhs,0.001149729562722324
hhs_care,14,random_forest,hhs_care,0.6707770920413603
hhs_care,14,random_forest,hhs_discharges,6.829272112251476e-05
hhs_care,14,random_forest,net_hhs_flow,0.00020700428403377697
hhs_care,14,random_forest,days_since_previous_report,1.2077732033238046e-05
hhs_care,14,random_forest,hhs_care_lag_1_reports,0.25595932553092327
hhs_care,14,random_forest,hhs_care_lag_7_reports,0.0036379871614750313
hhs_care,14,random_forest,hhs_care_lag_14_reports,0.012959269767537435
hhs_care,14,random_forest,hhs_care_rolling_mean_7_reports,0.0075095600932095895
hhs_care,14,random_forest,hhs_care_rolling_variance_7_reports,0.0008524338768784868
hhs_care,14,random_forest,hhs_care_rolling_mean_14_reports,0.0067799436881064625
hhs_care,14,random_forest,hhs_care_rolling_variance_14_reports,0.0009010427691953984
hhs_care,14,random_forest,hhs_discharges_lag_1_reports,0.00011421461446728282
hhs_care,14,random_forest,hhs_discharges_lag_7_reports,4.4966215668802e-05
hhs_care,14,random_forest,hhs_discharges_lag_14_reports,0.0003760648247370927
hhs_care,14,random_forest,hhs_discharges_rolling_mean_7_reports,0.005038138023773503
hhs_care,14,random_forest,hhs_discharges_rolling_variance_7_reports,0.0005041807079801573
hhs_care,14,random_forest,hhs_discharges_rolling_mean_14_reports,0.002683987699903863
hhs_care,14,random_forest,hhs_discharges_rolling_variance_14_reports,0.0025113268123248805
hhs_care,14,random_forest,net_hhs_flow_lag_1_reports,0.00017521002378073533
hhs_care,14,random_forest,net_hhs_flow_lag_7_reports,0.00017778943110695545
hhs_care,14,random_forest,net_hhs_flow_lag_14_reports,0.0009533582668601511
hhs_care,14,random_forest,net_hhs_flow_rolling_mean_7_reports,0.001185447177267765
hhs_care,14,random_forest,net_hhs_flow_rolling_variance_7_reports,0.0009318097767752461
hhs_care,14,random_forest,net_hhs_flow_rolling_mean_14_reports,0.0030331430671117687
hhs_care,14,random_forest,net_hhs_flow_rolling_variance_14_reports,0.0033052952070573354
hhs_care,14,random_forest,day_of_week,8.312336145862369e-06
hhs_care,14,random_forest,month,0.016065084847325217
hhs_care,14,random_forest,is_weekend,6.024190670445759e-07
hhs_care,14,random_forest,is_us_federal_holiday,0.0
hhs_care,14,gradient_boosting,cbp_apprehensions,0.0
hhs_care,14,gradient_boosting,cbp_care,0.01185936389772429
hhs_care,14,gradient_boosting,cbp_transfers_to_hhs,0.018799514795475716
hhs_care,14,gradient_boosting,hhs_care,0.7634274111726905
hhs_care,14,gradient_boosting,hhs_discharges,0.0
hhs_care,14,gradient_boosting,net_hhs_flow,0.0
hhs_care,14,gradient_boosting,days_since_previous_report,0.0
hhs_care,14,gradient_boosting,hhs_care_lag_1_reports,0.0066183894106604775
hhs_care,14,gradient_boosting,hhs_care_lag_7_reports,0.0
hhs_care,14,gradient_boosting,hhs_care_lag_14_reports,0.0005595835855171899
hhs_care,14,gradient_boosting,hhs_care_rolling_mean_7_reports,0.00022207662456170176
hhs_care,14,gradient_boosting,hhs_care_rolling_variance_7_reports,0.0
hhs_care,14,gradient_boosting,hhs_care_rolling_mean_14_reports,0.0004666925470449915
hhs_care,14,gradient_boosting,hhs_care_rolling_variance_14_reports,0.0
hhs_care,14,gradient_boosting,hhs_discharges_lag_1_reports,0.0
hhs_care,14,gradient_boosting,hhs_discharges_lag_7_reports,0.0
hhs_care,14,gradient_boosting,hhs_discharges_lag_14_reports,0.0
hhs_care,14,gradient_boosting,hhs_discharges_rolling_mean_7_reports,0.0
hhs_care,14,gradient_boosting,hhs_discharges_rolling_variance_7_reports,0.0
hhs_care,14,gradient_boosting,hhs_discharges_rolling_mean_14_reports,0.1584915316732144
hhs_care,14,gradient_boosting,hhs_discharges_rolling_variance_14_reports,0.0
hhs_care,14,gradient_boosting,net_hhs_flow_lag_1_reports,0.0
hhs_care,14,gradient_boosting,net_hhs_flow_lag_7_reports,0.0
hhs_care,14,gradient_boosting,net_hhs_flow_lag_14_reports,0.0
hhs_care,14,gradient_boosting,net_hhs_flow_rolling_mean_7_reports,0.0
hhs_care,14,gradient_boosting,net_hhs_flow_rolling_variance_7_reports,0.0
hhs_care,14,gradient_boosting,net_hhs_flow_rolling_mean_14_reports,0.0
hhs_care,14,gradient_boosting,net_hhs_flow_rolling_variance_14_reports,0.0
hhs_care,14,gradient_boosting,day_of_week,0.0
hhs_care,14,gradient_boosting,month,0.039555436293110764
hhs_care,14,gradient_boosting,is_weekend,0.0
hhs_care,14,gradient_boosting,is_us_federal_holiday,0.0
hhs_discharges,1,random_forest,cbp_apprehensions,0.036006510081158107
hhs_discharges,1,random_forest,cbp_care,0.001666442637909146
hhs_discharges,1,random_forest,cbp_transfers_to_hhs,0.0012643762962900266
hhs_discharges,1,random_forest,hhs_care,0.15217711964455538
hhs_discharges,1,random_forest,hhs_discharges,0.0052075187057866726
hhs_discharges,1,random_forest,net_hhs_flow,0.0036188581224340724
hhs_discharges,1,random_forest,days_since_previous_report,0.004357991119727834
hhs_discharges,1,random_forest,hhs_care_lag_1_reports,0.39729817666233613
hhs_discharges,1,random_forest,hhs_care_lag_7_reports,0.0722984881924929
hhs_discharges,1,random_forest,hhs_care_lag_14_reports,0.004224113935732392
hhs_discharges,1,random_forest,hhs_care_rolling_mean_7_reports,0.05688027831241163
hhs_discharges,1,random_forest,hhs_care_rolling_variance_7_reports,0.002446481201370167
hhs_discharges,1,random_forest,hhs_care_rolling_mean_14_reports,0.17475032785992725
hhs_discharges,1,random_forest,hhs_care_rolling_variance_14_reports,0.002550662015905638
hhs_discharges,1,random_forest,hhs_discharges_lag_1_reports,0.006879513584859039
hhs_discharges,1,random_forest,hhs_discharges_lag_7_reports,0.0045987114003178875
hhs_discharges,1,random_forest,hhs_discharges_lag_14_reports,0.0034698490999856323
hhs_discharges,1,random_forest,hhs_discharges_rolling_mean_7_reports,0.003519045176672655
hhs_discharges,1,random_forest,hhs_discharges_rolling_variance_7_reports,0.0013827479147033536
hhs_discharges,1,random_forest,hhs_discharges_rolling_mean_14_reports,0.01309093406661229
hhs_discharges,1,random_forest,hhs_discharges_rolling_variance_14_reports,0.0018347625805920278
hhs_discharges,1,random_forest,net_hhs_flow_lag_1_reports,0.004987028853107792
hhs_discharges,1,random_forest,net_hhs_flow_lag_7_reports,0.0017728842395190833
hhs_discharges,1,random_forest,net_hhs_flow_lag_14_reports,0.0022237852694654303
hhs_discharges,1,random_forest,net_hhs_flow_rolling_mean_7_reports,0.0017081310601946794
hhs_discharges,1,random_forest,net_hhs_flow_rolling_variance_7_reports,0.00194304308181886
hhs_discharges,1,random_forest,net_hhs_flow_rolling_mean_14_reports,0.00270399120553646
hhs_discharges,1,random_forest,net_hhs_flow_rolling_variance_14_reports,0.0021202239689034636
hhs_discharges,1,random_forest,day_of_week,0.028022755517060134
hhs_discharges,1,random_forest,month,0.0006462828828179291
hhs_discharges,1,random_forest,is_weekend,0.004348965309795996
hhs_discharges,1,random_forest,is_us_federal_holiday,0.0
hhs_discharges,1,gradient_boosting,cbp_apprehensions,0.019595473816875528
hhs_discharges,1,gradient_boosting,cbp_care,0.0
hhs_discharges,1,gradient_boosting,cbp_transfers_to_hhs,0.010930933760973219
hhs_discharges,1,gradient_boosting,hhs_care,0.2469650391848278
hhs_discharges,1,gradient_boosting,hhs_discharges,0.16624270063674174
hhs_discharges,1,gradient_boosting,net_hhs_flow,0.0
hhs_discharges,1,gradient_boosting,days_since_previous_report,0.005710801406225981
hhs_discharges,1,gradient_boosting,hhs_care_lag_1_reports,0.3450599562403893
hhs_discharges,1,gradient_boosting,hhs_care_lag_7_reports,0.0
hhs_discharges,1,gradient_boosting,hhs_care_lag_14_reports,0.0
hhs_discharges,1,gradient_boosting,hhs_care_rolling_mean_7_reports,0.004155743726671408
hhs_discharges,1,gradient_boosting,hhs_care_rolling_variance_7_reports,0.0
hhs_discharges,1,gradient_boosting,hhs_care_rolling_mean_14_reports,0.0699322855764233
