strategy,target,horizon_reports,model,arima_order,observations,mae,rmse,mape_percent,wape_percent
strict_holdout_sampled,hhs_care,1,"arima_(0, 1, 1)","(0, 1, 1)",11,11.518656404935138,14.618571300260584,0.49504209868671656,0.508733720606627
walk_forward,hhs_care,1,"arima_(0, 1, 1)","(0, 1, 1)",25,23.387158685965133,42.072281468022894,0.5270101982689007,0.6414681417371151
strict_holdout_sampled,hhs_care,7,"arima_(0, 1, 1)","(0, 1, 1)",11,48.317431822805226,63.79222289651427,2.1141155869204327,2.136135002816838
walk_forward,hhs_care,7,"arima_(0, 1, 1)","(0, 1, 1)",24,173.563314744459,292.23872015347837,4.693582183036251,4.790927189136954
strict_holdout_sampled,hhs_care,14,"arima_(0, 1, 1)","(0, 1, 1)",11,113.38766681952984,134.4636072430742,5.073231941703852,5.01271736602696
walk_forward,hhs_care,14,"arima_(0, 1, 1)","(0, 1, 1)",24,313.76795230724355,550.0801354156334,9.238891225825922,8.819177222965843
strict_holdout_sampled,hhs_discharges,1,"arima_(0, 1, 2)","(0, 1, 2)",11,5.150644587359114,6.728650161300811,57.544312309551906,40.46935032925019
walk_forward,hhs_discharges,1,"arima_(0, 1, 2)","(0, 1, 2)",25,14.463784183341618,20.663802560432085,67.02446979246128,22.62794772112268
strict_holdout_sampled,hhs_discharges,7,"arima_(0, 1, 2)","(0, 1, 2)",11,6.070544282340359,8.04125577677899,36.70231820995492,39.2799924151435
walk_forward,hhs_discharges,7,"arima_(0, 1, 2)","(0, 1, 2)",24,20.247102306569264,28.900777104202152,99.8260353818193,32.223504997192464
strict_holdout_sampled,hhs_discharges,14,"arima_(0, 1, 2)","(0, 1, 2)",11,5.019333176683729,6.245273910716339,66.42665305576135,46.79039401993306
walk_forward,hhs_discharges,14,"arima_(0, 1, 2)","(0, 1, 2)",24,21.981184819715562,36.38586180337395,78.26999653405802,31.215883767643398
strict_holdout_sampled,net_hhs_flow,1,"arima_(0, 1, 2)","(0, 1, 2)",11,5.303129521806718,7.835913252857604,181.55268196382315,72.01780832083196
walk_forward,net_hhs_flow,1,"arima_(0, 1, 2)","(0, 1, 2)",25,17.067933825053046,26.637769503202687,176.3736261911281,97.64264201975426
strict_holdout_sampled,net_hhs_flow,7,"arima_(0, 1, 2)","(0, 1, 2)",11,7.124833284177941,9.481543282504997,91.09126498604874,92.20372485406747
walk_forward,net_hhs_flow,7,"arima_(0, 1, 2)","(0, 1, 2)",24,28.028198701342433,46.259629291972914,107.06475028977212,79.89035259290004
strict_holdout_sampled,net_hhs_flow,14,"arima_(0, 1, 2)","(0, 1, 2)",11,7.4267612795519,11.057020982469544,186.54297454534657,120.13878540451603
walk_forward,net_hhs_flow,14,"arima_(0, 1, 2)","(0, 1, 2)",24,25.6078241065738,35.99469035693109,156.77421579834396,111.13703048060964
