strategy,target,horizon_reports,model,smoothing_model,observations,mae,rmse,mape_percent,wape_percent
strict_holdout_sampled,hhs_care,1,exponential_smoothing_holt_damped,holt_damped,11,8.117174831305647,11.40288561974538,0.3491427889686278,0.35850366636297326
walk_forward,hhs_care,1,exponential_smoothing_holt_damped,holt_damped,25,26.755591438402252,43.54159605203981,0.6667836509934103,0.7338582574961944
strict_holdout_sampled,hhs_care,7,exponential_smoothing_holt_damped,holt_damped,11,39.5908480417183,47.188236566281354,1.755925920248205,1.7503288793010785
walk_forward,hhs_care,7,exponential_smoothing_holt_damped,holt_damped,24,127.63935870290685,255.70207385791608,3.1109088943369936,3.5232726161867873
strict_holdout_sampled,hhs_care,14,exponential_smoothing_holt_damped,holt_damped,11,99.8689579335749,129.98881553242896,4.494340312586876,4.415073295029837
walk_forward,hhs_care,14,exponential_smoothing_holt_damped,holt_damped,24,257.24006598084264,506.538063207708,7.058331815160622,7.230329656200854
strict_holdout_sampled,hhs_discharges,1,exponential_smoothing_simple,simple,11,3.617066689802556,4.95469275488017,40.44153646760936,28.419809705591508
walk_forward,hhs_discharges,1,exponential_smoothing_simple,simple,25,13.904861677752601,20.468023200946924,50.76656358482208,21.753538294356385
strict_holdout_sampled,hhs_discharges,7,exponential_smoothing_simple,simple,11,5.751503987178503,7.5931885353069974,34.97337188885065,37.215614034684435
walk_forward,hhs_discharges,7,exponential_smoothing_simple,simple,24,18.5975405617769,26.710739579326177,80.29628602575349,29.59820779062637
strict_holdout_sampled,hhs_discharges,14,exponential_smoothing_simple,simple,11,5.340406521352762,6.839245889789267,70.83575792110787,49.78345062277998
walk_forward,hhs_discharges,14,exponential_smoothing_simple,simple,24,20.348763532962653,34.51835654866764,65.10666435914436,28.89765235450318
strict_holdout_sampled,net_hhs_flow,1,exponential_smoothing_simple,simple,11,4.7366698678341494,7.017520537218744,128.11782311144344,64.32514635330327
walk_forward,net_hhs_flow,1,exponential_smoothing_simple,simple,25,15.15866304490384,25.75035895105295,146.53978321721618,86.72004030265354
strict_holdout_sampled,net_hhs_flow,7,exponential_smoothing_simple,simple,11,6.603857985430626,8.926066120173935,78.82245268462233,85.46169157616103
walk_forward,net_hhs_flow,7,exponential_smoothing_simple,simple,24,28.09387374691417,45.6660137463863,110.50653780931235,80.07754987243943
strict_holdout_sampled,net_hhs_flow,14,exponential_smoothing_simple,simple,11,7.59224373030899,11.212926718006297,196.67580993475582,122.81570740205719
walk_forward,net_hhs_flow,14,exponential_smoothing_simple,simple,24,24.605342732643106,36.33942579592821,144.60320204774862,106.78629757385795
